[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.StudentController.famPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.String> com.integrated.edu.data.web.StudentController.stuUpd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Student,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.StudentController.famAdd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Family)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Family>> com.integrated.edu.data.web.StudentController.famList(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.StudentController.famUpd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Family)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_list_by_sid],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Family>> com.integrated.edu.data.web.StudentController.famsBySid(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.TeacherController.add(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Teacher)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Teacher> com.integrated.edu.data.web.TeacherController.get(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Teacher>> com.integrated.edu.data.web.TeacherController.list(com.integrated.edu.comm.Ui,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.TeacherController.paging(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.TeacherController.upd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Teacher)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.TeacherController.del(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/tch/get_by_phone],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Teacher> com.integrated.edu.data.web.TeacherController.getByPhone(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dev/app/add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.device.web.AppController.add(com.integrated.edu.comm.Ui,com.integrated.edu.device.App)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dev/app/get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.device.App> com.integrated.edu.device.web.AppController.get(com.integrated.edu.comm.Ui,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dev/app/list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.device.App>> com.integrated.edu.device.web.AppController.list(com.integrated.edu.comm.Ui)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/dev/app/list_type],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<java.lang.String>> com.integrated.edu.device.web.AppController.listType(com.integrated.edu.comm.Ui)
